id,sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy
349,1136,9,4,none,education,2,none,critical account or other credits existing(not at this bank),male single,32,7+ y.,skilled employee,yes,3,for free,unknown or no property,greater-than 1000 cu,2,none,0 to 200 cu,1
350,1236,9,1,none,household appliances,1,none,existing credits paid back duly till now,female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,yes,no checking account,0
351,959,9,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,29,1 to 4 y.,skilled employee,no,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,1
352,3229,18,2,none,used car,1,none,critical account or other credits existing(not at this bank),male single,38,unemployed,management or self-employed or highly qualified employee,yes,4,own,unknown or no property,unknown or no savings account,1,yes,no checking account,0
353,6199,12,4,none,television or radio,2,none,no credits or all paid,male single,28,1 to 4 y.,skilled employee,yes,2,rent,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,1
354,727,10,4,none,education,1,none,existing credits paid back duly till now,male single,46,7+ y.,skilled employee,yes,4,for free,unknown or no property,500 to 1000 cu,1,yes,no checking account,0
355,1246,24,4,none,new car,1,stores,existing credits paid back duly till now,male single,23,less-than 1 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,0 to 200 cu,1
356,2331,12,1,co-applicant,television or radio,1,none,critical account or other credits existing(not at this bank),male single,49,7+ y.,skilled employee,yes,4,own,real estate,unknown or no savings account,1,yes,no checking account,0
357,4463,36,4,none,television or radio,2,none,delay in paying off in the past,male single,26,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,1
358,776,12,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,28,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
359,2406,30,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,23,4 to 7 y.,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,none,less-than 0 cu,1
360,1239,18,4,none,education,1,none,existing credits paid back duly till now,male single,61,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,1,none,0 to 200 cu,0
361,3399,12,2,none,television or radio,1,none,existing credits paid back duly till now,male single,37,7+ y.,management or self-employed or highly qualified employee,yes,3,own,car or other,unknown or no savings account,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
362,2247,12,2,none,new car,2,stores,delay in paying off in the past,female divorced or separated or married,36,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
363,1766,6,1,none,furniture or equipment,1,none,existing credits paid back duly till now,male married or widowed,21,1 to 4 y.,skilled employee,yes,2,rent,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
364,2473,18,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,25,unemployed,unemployed or unskilled non-resident,yes,1,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
365,1542,12,2,none,business,1,none,existing credits paid back duly till now,male single,36,4 to 7 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
366,3850,18,3,none,used car,2,none,critical account or other credits existing(not at this bank),male single,27,4 to 7 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,none,no checking account,0
367,3650,18,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,22,less-than 1 y.,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,0
368,3446,36,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,42,7+ y.,skilled employee,yes,2,own,car or other,less-than 100 cu,2,none,less-than 0 cu,1
369,3001,18,2,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,40,4 to 7 y.,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,none,0 to 200 cu,0
370,3079,36,4,none,new car,1,none,existing credits paid back duly till now,male single,36,1 to 4 y.,skilled employee,yes,4,own,real estate,unknown or no savings account,1,none,no checking account,0
371,6070,18,3,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,33,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
372,2146,10,1,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,3,rent,real estate,less-than 100 cu,1,none,no checking account,0
373,13756,60,2,none,new car,1,bank,critical account or other credits existing(not at this bank),male single,63,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,unknown or no savings account,1,yes,no checking account,0
374,14782,60,3,none,other,2,bank,all credits at this bank paid back duly,female divorced or separated or married,60,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,100 to 500 cu,1,yes,0 to 200 cu,1
375,7685,48,2,guarantor,business,1,none,all credits at this bank paid back duly,female divorced or separated or married,37,4 to 7 y.,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,1
376,2320,18,2,none,television or radio,2,none,delay in paying off in the past,male married or widowed,34,unemployed,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,no checking account,0
377,846,7,3,none,television or radio,1,none,delay in paying off in the past,male single,36,7+ y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,1,none,no checking account,0
378,14318,36,4,none,new car,1,none,existing credits paid back duly till now,male single,57,7+ y.,management or self-employed or highly qualified employee,yes,2,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
379,362,6,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,52,1 to 4 y.,unskilled resident,yes,4,own,car or other,100 to 500 cu,1,none,no checking account,0
380,2212,20,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,39,4 to 7 y.,skilled employee,yes,4,own,car or other,unknown or no savings account,1,yes,less-than 0 cu,0
381,12976,18,3,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,38,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
382,1283,22,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,25,4 to 7 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
383,1330,12,4,none,new car,1,none,existing credits paid back duly till now,male single,26,less-than 1 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
384,4272,30,2,none,business,2,none,delay in paying off in the past,male single,26,1 to 4 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,1,none,no checking account,0
385,2238,18,2,none,television or radio,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,25,1 to 4 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,none,no checking account,0
386,1126,18,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,21,less-than 1 y.,skilled employee,yes,2,rent,real estate,unknown or no savings account,1,yes,no checking account,0
387,7374,18,4,none,furniture or equipment,2,stores,critical account or other credits existing(not at this bank),male single,40,unemployed,management or self-employed or highly qualified employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,0 to 200 cu,0
388,2326,15,2,none,business,1,bank,critical account or other credits existing(not at this bank),male single,27,1 to 4 y.,skilled employee,yes,4,own,car or other,500 to 1000 cu,1,none,0 to 200 cu,0
389,1449,9,3,none,business,2,none,existing credits paid back duly till now,female divorced or separated or married,27,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
390,1820,18,2,none,new car,1,none,existing credits paid back duly till now,male married or widowed,30,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,0
391,983,12,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,19,less-than 1 y.,unskilled resident,yes,4,rent,real estate,greater-than 1000 cu,1,none,0 to 200 cu,0
392,3249,36,2,none,new car,1,bank,existing credits paid back duly till now,male single,39,4 to 7 y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,2,yes,less-than 0 cu,0
393,1957,6,1,none,television or radio,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,31,4 to 7 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
394,2406,9,2,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,31,unemployed,management or self-employed or highly qualified employee,yes,3,own,car or other,less-than 100 cu,1,none,no checking account,0
395,11760,39,2,none,education,1,none,delay in paying off in the past,male single,32,4 to 7 y.,skilled employee,yes,3,rent,unknown or no property,100 to 500 cu,1,yes,0 to 200 cu,0
396,2578,12,3,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,55,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,0
397,2348,36,3,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male married or widowed,46,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,0
